date,equity
2020-04-01,1000000.0
2020-05-04,1000000.0
2020-06-01,1000000.0
2020-07-01,1000000.0
2020-08-03,999899.9945205479
2020-08-04,1001687.9351046472
2020-08-05,1005244.7904814633
2020-08-06,1017781.3784434514
2020-08-07,1023856.5589623542
2020-08-10,1026491.8086391866
2020-08-11,1019250.9997652649
2020-08-12,1011081.9843834708
2020-08-13,1018141.9442143342
2020-08-14,1013554.5449541133
2020-08-17,1015954.3399256087
2020-08-18,1025338.8046932936
2020-08-19,1024051.0343015381
2020-08-20,1023309.7576851009
2020-08-21,1026398.0569145671
2020-08-24,1022457.358197607
2020-08-25,1023480.3613219388
2020-08-26,1025359.1526345855
2020-08-27,1027543.5186443398
2020-08-28,1026852.7235540572
2020-08-31,1011211.5492497149
2020-09-01,1012674.5097308445
2020-09-02,1021444.3824533396
2020-09-03,1032099.7710467947
2020-09-04,1019580.8797877666
2020-09-07,1008839.9998564834
2020-09-08,1006790.9063124565
2020-09-09,998884.4878513158
2020-09-10,1011076.2793122884
2020-09-11,1013470.0297101602
2020-09-14,1024759.4616945863
2020-09-15,1032622.6156264881
2020-09-16,1035945.5816851575
2020-09-17,1036583.9344432936
2020-09-18,1040404.8795030782
2020-09-21,1014452.2870523648
2020-09-22,999131.1182815208
2020-09-23,995384.4079225519
2020-09-24,987760.0825698221
2020-09-25,1003120.1962649222
2020-09-28,1022952.8282778577
2020-09-29,1020923.6254024665
2020-09-30,1020732.204539692
2020-10-01,1030474.578259307
2020-10-05,1039831.2503327243
2020-10-06,1042739.4510619094
2020-10-07,1050232.1196284592
2020-10-08,1055631.7606757036
2020-10-09,1057760.5052173105
2020-10-12,1063986.7024633426
2020-10-13,1063815.0990571154
2020-10-14,1055724.996212367
2020-10-15,1047971.2445566832
2020-10-16,1046364.2451415501
2020-10-19,1055391.3714063196
2020-10-20,1059726.0085178814
2020-10-21,1058677.2480868117
2020-10-22,1058704.4615557827
2020-10-23,1063109.5837408965
2020-10-26,1055871.2351977697
2020-10-27,1062116.7336831028
2020-10-28,1057016.1777349343
2020-10-29,1051344.165539712
2020-10-30,1051407.4656659793
2020-11-02,1048709.335995688
2020-11-03,1054628.752475643
2020-11-04,1063176.9759143924
2020-11-05,1075280.4058683803
2020-11-06,1079981.357858451
2020-11-09,1094429.5605225246
2020-11-10,1095429.1169167615
2020-11-11,1101678.444427091
2020-11-12,1107030.1599600478
2020-11-13,1110877.6521584406
2020-11-14,1116192.9937473857
2020-11-17,1123303.0767159492
2020-11-18,1130755.1428425657
2020-11-19,1128373.371343115
2020-11-20,1134866.7647301652
2020-11-23,1144880.5681579108
2020-11-24,1150848.2713071436
